Eruption Number,Volcano Name,Eruption Category,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day,Evidence Type,Evidence Method
14508,Okataina,Confirmed,1.0,1900,1.0,,1904.0,11.0,1.0,Observations,Reported
14982,Langila,Confirmed,2.0,1900,,,,,,Observations,Reported
14091,Nyiragongo,Confirmed,1.0,1900,,,,,,Observations,Reported
16875,Didicas,Confirmed,0.0,1900,,,,,,Observations,Reported
16503,Karangetang,Confirmed,2.0,1900,,,,,,Observations,Reported
18481,Farallon de Pajaros,Confirmed,2.0,1900,,,1901.0,5.0,,Observations,Reported
18738,Raususan [Mendeleev],Uncertain,2.0,1900,,,,,,Uncertain,Unspecified
13213,Saunders,Confirmed,0.0,1900,,,,,,Correlation,Tephrochronology
12267,Huequi,Confirmed,2.0,1900,,,,,,Observations,Reported
11639,Tungurahua,Uncertain,2.0,1900,,,,,,Uncertain,Unspecified
10807,Izalco,Confirmed,2.0,1899,12.0,31.0,1900.0,3.0,,Observations,Reported
16004,Semeru,Confirmed,2.0,1899,12.0,,,,,Observations,Reported
10946,"Negro, Cerro",Confirmed,2.0,1899,11.0,22.0,1899.0,11.0,29.0,Observations,Reported
13765,Etna,Confirmed,2.0,1899,11.0,15.0,1907.0,8.0,,Observations,Reported
17072,Aira,Uncertain,1.0,1899,9.0,24.0,1899.0,9.0,25.0,Uncertain,Unspecified
20411,Wrangell,Confirmed,2.0,1899,9.0,3.0,,,,Observations,Reported
17911,Adatarayama,Confirmed,2.0,1899,8.0,24.0,1899.0,11.0,12.0,Observations,Reported
16003,Semeru,Confirmed,2.0,1899,8.0,11.0,,,,Observations,Reported
17152,Kirishimayama,Confirmed,2.0,1899,7.0,28.0,1900.0,2.0,16.0,Observations,Reported
13764,Etna,Confirmed,3.0,1899,7.0,19.0,1899.0,8.0,5.0,Observations,Reported
17761,Asamayama,Confirmed,2.0,1899,7.0,10.0,1899.0,8.0,7.0,Observations,Reported
10212,Mauna Loa,Confirmed,1.0,1899,7.0,1.0,1899.0,7.0,23.0,Observations,Reported
16334,Lewotolok,Confirmed,2.0,1899,6.0,2.0,,,,Observations,Reported
15660,Gede-Pangrango,Confirmed,2.0,1899,5.0,1.0,1899.0,5.0,14.0,Observations,Reported
17760,Asamayama,Confirmed,2.0,1899,3.0,11.0,,,,Observations,Reported
16355,Sirung,Uncertain,2.0,1899,3.0,,1899.0,4.0,,Uncertain,Unspecified
14305,"Fournaise, Piton de la",Confirmed,2.0,1899,2.0,13.0,1899.0,7.0,18.0,Observations,Reported
14043,Nyamulagira,Confirmed,1.0,1899,2.0,,,,,Observations,Reported
16002,Semeru,Confirmed,2.0,1899,1.0,17.0,1899.0,3.0,31.0,Observations,Reported
19970,Buckle Island,Confirmed,2.0,1899,1.0,12.0,,,,Observations,Reported
11327,Purace,Confirmed,2.0,1899,,,,,,Observations,Reported
16502,Karangetang,Confirmed,2.0,1899,,,,,,Observations,Reported
14090,Nyiragongo,Confirmed,1.0,1899,,,,,,Observations,Reported
14900,Manam,Confirmed,2.0,1899,,,,,,Observations,Reported
19840,Okmok,Confirmed,3.0,1899,,,,,,Observations,Reported
11153,Poas,Confirmed,1.0,1898,12.0,29.0,1907.0,12.0,31.0,Observations,Reported
17151,Kirishimayama,Confirmed,2.0,1898,12.0,26.0,1898.0,12.0,30.0,Observations,Reported
18663,Maruyama,Confirmed,2.0,1898,12.0,3.0,1898.0,12.0,6.0,Observations,Reported
14304,"Fournaise, Piton de la",Confirmed,2.0,1898,11.0,26.0,,,,Observations,Reported
17291,Asosan,Confirmed,2.0,1898,8.0,,1899.0,4.0,,Observations,Reported
15292,Lopevi,Confirmed,2.0,1898,6.0,3.0,1898.0,7.0,24.0,Observations,Reported
16657,Gamalama,Confirmed,2.0,1898,5.0,14.0,1898.0,5.0,28.0,Observations,Reported
16421,Colo,Confirmed,3.0,1898,5.0,2.0,1900.0,,,Observations,Reported
11434,Reventador,Confirmed,3.0,1898,4.0,8.0,1906.0,,,Observations,Reported
18962,Mutnovsky,Confirmed,2.0,1898,4.0,,1898.0,7.0,15.0,Observations,Reported
15249,Ambrym,Confirmed,1.0,1898,3.0,26.0,,,,Observations,Reported
16001,Semeru,Confirmed,2.0,1898,2.0,23.0,,,,Observations,Reported
19430,Klyuchevskoy,Confirmed,2.0,1898,2.0,20.0,,,,Observations,Reported
